section,isGroup,group,itemCode,HSCode,itemLabel
Crops Primary,,1714,136,0714.90_bb,Taro (cocoyam)
Crops Primary,,1714,137,0714.90_a,Yams
Crops Primary,,1714,149,0714.90_bc,"Roots and tubers, nes"
Crops Primary,,1714,156,1212.99aa,Sugar cane
Crops Primary,,1714,157,1212.91_a,Sugar beet
Crops Primary,,1714,161,1212.99ab,"Sugar crops, nes"
Crops Primary,,1714,176,0713.3_a,"Beans, dry"
Crops Primary,,1714,181,713.5,"Broad beans, horse beans, dry"
Crops Primary,,1714,187,713.1,"Peas, dry"
Crops Primary,,1714,191,713.2,Chick peas
Crops Primary,,1714,195,0713.3_b,"Cow peas, dry"
Crops Primary,,1714,197,0713.90aa,Pigeon peas
Crops Primary,,1714,201,713.4,Lentils
Crops Primary,,1714,203,0713.90ad,Bambara beans
Crops Primary,,1714,205,0713.90ac,Vetches
Crops Primary,,1714,210,0713.90ab,Lupins
Crops Primary,,1714,211,0713.90ae,"Pulses, nes"
Crops Primary,,1714,216,801.21,"Brazil nuts, with shell"
Crops Primary,,1714,217,0801.31_a,"Cashew nuts, with shell"
Crops Primary,,1714,220,802.4,Chestnut
Crops Primary,,1714,221,0802.11_a,"Almonds, with shell"
Crops Primary,,1714,222,0802.31_a,"Walnuts, with shell"
Crops Primary,,1714,223,0802.50_a,Pistachios
Crops Primary,,1714,224,0802.90aa,Kola nuts
Crops Primary,,1714,225,0802.21_a,"Hazelnuts, with shell"
Crops Primary,,1714,226,0802.90ab,Areca nuts
Crops Primary,,1714,234,0802.90ac,"Nuts, nes"
Crops Primary,,1714,236,1201.00_a,Soybeans
Crops Primary,,1714,242,1202.10_a,"Groundnuts, with shell"
Crops Primary,,1714,249,0801.19_a,Coconuts
Crops Primary,,1714,254,1207.10ab,"Oil, palm fruit"
Crops Primary,,1714,260,0709.90aa,Olives
Crops Primary,,1714,263,1207.9ah,Karite nuts (sheanuts)
Crops Primary,,1714,265,1207.30_a,Castor oil seed
Crops Primary,,1714,267,1206.00_a,Sunflower seed
Crops Primary,,1714,270,1205,Rapeseed
Crops Primary,,1714,275,1207.9ai,Tung nuts
Crops Primary,,1714,277,1207.9aj,Jojoba seed
Crops Primary,,1714,280,1207.6,Safflower seed
Crops Primary,,1714,289,1207.40_a,Sesame seed
Crops Primary,,1714,292,1207.5,Mustard seed
Crops Primary,,1714,296,1207.9aa,Poppy seed
Crops Primary,,1714,299,1207.9ab,Melonseed
Crops Primary,,1714,305,1207.9ad,Tallowtree seed
Crops Primary,,1714,310,1402_a,Kapok fruit
Crops Primary,,1714,328,1207.20_b,Seed cotton
Crops Primary,,1714,333,1204.00_a,Linseed
Crops Primary,,1714,336,1207.9ag,Hempseed
Crops Primary,,1714,339,1207.9ak,Oilseeds nes
Crops Primary,,1714,358,0704.90_a,Cabbages and other brassicas
Crops Primary,,1714,366,709.1,Artichokes
Crops Primary,,1714,367,709.2,Asparagus
Crops Primary,,1714,372,705,Lettuce and chicory
Crops Primary,,1714,373,709.7,Spinach
Crops Primary,,1714,388,0702.00_a,Tomatoes
Crops Primary,,1714,393,704.1,Cauliflowers and broccoli
Crops Primary,,1714,394,0709.90_b,"Pumpkins, squash and gourds"
Crops Primary,,1714,397,707,Cucumbers and gherkins
Crops Primary,,1714,399,709.3,Eggplants (aubergines)
Crops Primary,,1714,401,709.6,"Chillies and peppers, green"
Crops Primary,,1714,402,0703.10_a,"Onions, shallots, green"
Crops Primary,,1714,403,0703.10_b,"Onions, dry"
Crops Primary,,1714,406,703.2,Garlic
Crops Primary,,1714,407,703.9,"Leeks, other alliaceous vegetables"
Crops Primary,,1714,414,0708.20_a,"Beans, green"
Crops Primary,,1714,417,708.1,"Peas, green"
Crops Primary,,1714,420,0708.90_a,"Vegetables, leguminous nes"
Crops Primary,,1714,423,0708.20_b,String beans
Crops Primary,,1714,426,706.1,Carrots and turnips
Crops Primary,,1714,430,0709.90cb,Okra
Crops Primary,,1714,446,0709.90ca,"Maize, green"
Crops Primary,,1714,449,0709.5_a,Mushrooms and truffles
Crops Primary,,1714,459,0709.90cd,Chicory roots
Crops Primary,,1714,461,1212.1,Carobs
Crops Primary,,1714,463,0706.10_a,"Vegetables, fresh nes"
Crops Primary,,1714,486,0803.00aa,Bananas
Crops Primary,,1714,489,0803.00_b,Plantains
Crops Primary,,1714,490,0805.10_a,Oranges
Crops Primary,,1714,495,0805.20_a,"Tangerines, mandarins, clementines, satsumas"
Crops Primary,,1714,497,0805.50_a,Lemons and limes
Crops Primary,,1714,507,0805.40_a,Grapefruit (inc. pomelos)
Crops Primary,,1714,512,0805.90_a,"Fruit, citrus nes"
Crops Primary,,1714,515,0808.10_a,Apples
Crops Primary,,1714,521,0808.20_a,Pears
Crops Primary,,1714,523,0808.20_b,Quinces
Crops Primary,,1714,526,0809.10_a,Apricots
Crops Primary,,1714,530,0809.20_b,"Cherries, sour"
Crops Primary,,1714,531,0809.20_a,Cherries
Crops Primary,,1714,534,809.3,Peaches and nectarines
Crops Primary,,1714,536,0809.40_a,Plums and sloes
Crops Primary,,1714,541,0810.90ac,"Fruit, stone nes"
Crops Primary,,1714,542,0810.90ab,"Fruit, pome nes"
Crops Primary,,1714,544,810.1,Strawberries
Crops Primary,,1714,547,0810.20_a,Raspberries
Crops Primary,,1714,549,0810.30_b,Gooseberries
Crops Primary,,1714,550,0810.30_a,Currants
Crops Primary,,1714,552,0810.40_c,Blueberries
Crops Primary,,1714,554,0810.40_d,Cranberries
Crops Primary,,1714,558,0810.40_b,Berries nes
Crops Primary,,1714,560,0806.10_a,Grapes
Crops Primary,,1714,567,807.11,Watermelons
Crops Primary,,1714,568,807.19,"Melons, other (inc.cantaloupes)"
Crops Primary,,1714,569,0804.20_a,Figs
Crops Primary,,1714,571,0804.50_a,"Mangoes, mangosteens, guavas"
Crops Primary,,1714,572,804.4,Avocados
Crops Primary,,1714,574,0804.30_a,Pineapples
Crops Primary,,1714,577,804.1,Dates
Crops Primary,,1714,587,0810.90aa,Persimmons
Crops Primary,,1714,591,0810.90ad,Cashewapple
Crops Primary,,1714,592,810.5,Kiwi fruit
Crops Primary,,1714,600,807.2,Papayas
Crops Primary,,1714,603,0804.50_b,"Fruit, tropical fresh nes"
Crops Primary,,1714,619,0810.90_d,"Fruit, fresh nes"
Crops Primary,,1714,636,1214.90_a,"Forage and silage, maize"
Crops Primary,,1714,637,1214.90_d,"Forage and silage, sorghum"
Crops Primary,,1714,638,1214.90_e,"Forage and silage, rye grass"
Crops Primary,,1714,639,1214.90_s,"Forage and silage, grasses nes"
Crops Primary,,1714,640,1214.90_b,"Forage and silage, clover"
Crops Primary,,1714,641,1214.90_c,"Forage and silage, alfalfa"
Crops Primary,,1714,642,1214.90_f,"Forage and silage, green oilseeds"
Crops Primary,,1714,643,1214.90_g,"Forage and silage, legumes"
Crops Primary,,1714,644,1214.90_h,Cabbage for fodder
Crops Primary,,1714,645,1214.90_i,Pumpkins for Fodder
Crops Primary,,1714,646,1214.90_j,Turnips for fodder
Crops Primary,,1714,647,1214.90_k,Beets for fodder
Crops Primary,,1714,648,1214.90_l,Carrots for fodder
Crops Primary,,1714,649,1214.90_m,Swedes for fodder
Crops Primary,,1714,651,1214.90_n,Forage products
Crops Primary,,1714,655,1214.90_o,Vegetables and roots fodder
Crops Primary,,1714,656,0901.1_a,"Coffee, green"
Crops Primary,,1714,661,1801.00_a,"Cocoa, beans"
Crops Primary,,1714,667,902,Tea
Crops Primary,,1714,671,903,MatŽ
Crops Primary,,1714,674,0902_b,Tea nes
Crops Primary,,1714,677,1210.1,Hops
Crops Primary,,1714,687,904.11,Pepper (piper spp.)
Crops Primary,,1714,689,904.2,"Chillies and peppers, dry"
Crops Primary,,1714,692,905,Vanilla
Crops Primary,,1714,693,906.1,Cinnamon (canella)
Crops Primary,,1714,698,907,Cloves
Crops Primary,,1714,702,908,"Nutmeg, mace and cardamoms"
Crops Primary,,1714,711,909,"Anise, badian, fennel, coriander"
Crops Primary,,1714,720,910.1,Ginger
Crops Primary,,1714,723,0910.9aa,"Spices, nes"
Crops Primary,,1714,748,0709.90_d,Peppermint
Crops Primary,,1714,754,1211.9,"Pyrethrum, dried"
Crops Primary,,1714,773,5301.2,Flax fibre and tow
Crops Primary,,1714,777,5302,Hemp tow waste
Crops Primary,,1714,780,5303aa,Jute
Crops Primary,,1714,782,5303ab,"Bastfibres, other"
Crops Primary,,1714,788,5305.90_b,Ramie
Crops Primary,,1714,789,5304_b,Sisal
Crops Primary,,1714,800,5304_c,Agave fibres nes
Crops Primary,,1714,809,5305.2_a,Manila fibre (abaca)
Crops Primary,,1714,821,5305.90_c,Fibre crops nes
Crops Primary,,1714,826,2401_a,"Tobacco, unmanufactured"
Crops Primary,,1714,836,4001.10_a,"Rubber, natural"
Crops Primary,,1714,839,4001.3,"Gums, natural"
Crops Primary,,1753,310,1402_a,Kapok fruit
Crops Primary,,1753,328,1207.20_b,Seed cotton
Crops Primary,,1753,767,5201.00aa,Cotton lint
Crops Primary,,1753,773,5301.2,Flax fibre and tow
Crops Primary,,1753,777,5302,Hemp tow waste
Crops Primary,,1753,780,5303aa,Jute
Crops Primary,,1753,782,5303ab,"Bastfibres, other"
Crops Primary,,1753,788,5305.90_b,Ramie
Crops Primary,,1753,789,5304_b,Sisal
Crops Primary,,1753,800,5304_c,Agave fibres nes
Crops Primary,,1753,809,5305.2_a,Manila fibre (abaca)
Crops Primary,,1753,821,5305.90_c,Fibre crops nes
Crops Primary,,1737,461,1212.1,Carobs
Crops Primary,,1737,486,0803.00aa,Bananas
Crops Primary,,1737,489,0803.00_b,Plantains
Crops Primary,,1737,490,0805.10_a,Oranges
Crops Primary,,1737,491,2009.12_a,"Juice, orange, single strength"
Crops Primary,,1737,492,2009.19_a,"Juice, orange, concentrated"
Crops Primary,,1737,495,0805.20_a,"Tangerines, mandarins, clementines, satsumas"
Crops Primary,,1737,496,2009.30_a,"Juice, tangerine"
Crops Primary,,1737,497,0805.50_a,Lemons and limes
Crops Primary,,1737,498,2009.31_a,"Juice, lemon, single strength"
Crops Primary,,1737,499,2009.39_a,"Juice, lemon, concentrated"
Crops Primary,,1737,507,0805.40_a,Grapefruit (inc. pomelos)
Crops Primary,,1737,509,2009.21,"Juice, grapefruit"
Crops Primary,,1737,510,2009.29,"Juice, grapefruit, concentrated"
Crops Primary,,1737,512,0805.90_a,"Fruit, citrus nes"
Crops Primary,,1737,513,2009.31_b,"Juice, citrus, single strength"
Crops Primary,,1737,514,2009.39_b,"Juice, citrus, concentrated"
Crops Primary,,1737,515,0808.10_a,Apples
Crops Primary,,1737,518,2009.71,"Juice, apple, single strength"
Crops Primary,,1737,519,2009.79,"Juice, apple, concentrated"
Crops Primary,,1737,521,0808.20_a,Pears
Crops Primary,,1737,523,0808.20_b,Quinces
Crops Primary,,1737,526,0809.10_a,Apricots
Crops Primary,,1737,527,813.1,"Apricots, dry"
Crops Primary,,1737,530,0809.20_b,"Cherries, sour"
Crops Primary,,1737,531,0809.20_a,Cherries
Crops Primary,,1737,534,809.3,Peaches and nectarines
Crops Primary,,1737,536,0809.40_a,Plums and sloes
Crops Primary,,1737,537,813.2,Plums dried (prunes)
Crops Primary,,1737,538,2009.80_c,"Juice, plum, single strength"
Crops Primary,,1737,539,2009.80_d,"Juice, plum, concentrated"
Crops Primary,,1737,541,0810.90ac,"Fruit, stone nes"
Crops Primary,,1737,542,0810.90ab,"Fruit, pome nes"
Crops Primary,,1737,544,810.1,Strawberries
Crops Primary,,1737,547,0810.20_a,Raspberries
Crops Primary,,1737,549,0810.30_b,Gooseberries
Crops Primary,,1737,550,0810.30_a,Currants
Crops Primary,,1737,552,0810.40_c,Blueberries
Crops Primary,,1737,554,0810.40_d,Cranberries
Crops Primary,,1737,558,0810.40_b,Berries nes
Crops Primary,,1737,560,0806.10_a,Grapes
Crops Primary,,1737,561,806.2,Raisins
Crops Primary,,1737,562,2009.6_a,"Juice, grape"
Crops Primary,,1737,566,2308.00_b,"Grapes, marc"
Crops Primary,,1737,567,807.11,Watermelons
Crops Primary,,1737,568,807.19,"Melons, other (inc.cantaloupes)"
Crops Primary,,1737,569,0804.20_a,Figs
Crops Primary,,1737,570,0804.20_b,Figs dried
Crops Primary,,1737,571,0804.50_a,"Mangoes, mangosteens, guavas"
Crops Primary,,1737,572,804.4,Avocados
Crops Primary,,1737,574,0804.30_a,Pineapples
Crops Primary,,1737,575,2008.2,Pineapples canned
Crops Primary,,1737,576,2009.41,"Juice, pineapple"
Crops Primary,,1737,577,804.1,Dates
Crops Primary,,1737,580,2009.49,"Juice, pineapple, concentrated"
Crops Primary,,1737,583,2009.8,"Juice, mango"
Crops Primary,,1737,584,2008.99,Mango pulp
Crops Primary,,1737,587,0810.90aa,Persimmons
Crops Primary,,1737,591,0810.90ad,Cashewapple
Crops Primary,,1737,592,810.5,Kiwi fruit
Crops Primary,,1737,600,807.2,Papayas
Crops Primary,,1737,603,0804.50_b,"Fruit, tropical fresh nes"
Crops Primary,,1737,604,0813.40_a,"Fruit, tropical dried nes"
Crops Primary,,1737,619,0810.90_d,"Fruit, fresh nes"
Crops Primary,,1737,620,0813.40_b,"Fruit, dried nes"
Crops Primary,,1737,622,2009.80_a,"Juice, fruit nes"
Crops Primary,,1737,623,0811_a,"Fruit, prepared nes"
Crops Primary,,1737,624,1106.3,"Flour, fruit"
Crops Primary,,1737,625,2006,"Fruits, nuts, peel, sugar preserved"
Crops Primary,,1737,626,2007.1,"Fruit, cooked, homogenized preparations"
Crops Primary,,1738,461,1212.1,Carobs
Crops Primary,,1738,486,0803.00aa,Bananas
Crops Primary,,1738,489,0803.00_b,Plantains
Crops Primary,,1738,490,0805.10_a,Oranges
Crops Primary,,1738,495,0805.20_a,"Tangerines, mandarins, clementines, satsumas"
Crops Primary,,1738,497,0805.50_a,Lemons and limes
Crops Primary,,1738,507,0805.40_a,Grapefruit (inc. pomelos)
Crops Primary,,1738,512,0805.90_a,"Fruit, citrus nes"
Crops Primary,,1738,515,0808.10_a,Apples
Crops Primary,,1738,521,0808.20_a,Pears
Crops Primary,,1738,523,0808.20_b,Quinces
Crops Primary,,1738,526,0809.10_a,Apricots
Crops Primary,,1738,530,0809.20_b,"Cherries, sour"
Crops Primary,,1738,531,0809.20_a,Cherries
Crops Primary,,1738,534,809.3,Peaches and nectarines
Crops Primary,,1738,536,0809.40_a,Plums and sloes
Crops Primary,,1738,541,0810.90ac,"Fruit, stone nes"
Crops Primary,,1738,542,0810.90ab,"Fruit, pome nes"
Crops Primary,,1738,544,810.1,Strawberries
Crops Primary,,1738,547,0810.20_a,Raspberries
Crops Primary,,1738,549,0810.30_b,Gooseberries
Crops Primary,,1738,550,0810.30_a,Currants
Crops Primary,,1738,552,0810.40_c,Blueberries
Crops Primary,,1738,554,0810.40_d,Cranberries
Crops Primary,,1738,558,0810.40_b,Berries nes
Crops Primary,,1738,560,0806.10_a,Grapes
Crops Primary,,1738,569,0804.20_a,Figs
Crops Primary,,1738,571,0804.50_a,"Mangoes, mangosteens, guavas"
Crops Primary,,1738,572,804.4,Avocados
Crops Primary,,1738,574,0804.30_a,Pineapples
Crops Primary,,1738,577,804.1,Dates
Crops Primary,,1738,587,0810.90aa,Persimmons
Crops Primary,,1738,591,0810.90ad,Cashewapple
Crops Primary,,1738,592,810.5,Kiwi fruit
Crops Primary,,1738,600,807.2,Papayas
Crops Primary,,1738,603,0804.50_b,"Fruit, tropical fresh nes"
Crops Primary,,1738,619,0810.90_d,"Fruit, fresh nes"
Crops Primary,,1751,780,5303aa,Jute
Crops Primary,,1751,782,5303ab,"Bastfibres, other"
Crops Primary,,1841,236,1201.00_a,Soybeans
