vocabulary;uri;code;narrative
99;;AG-ADM;
99;;AG-AGB;
99;;AG-DEV;
99;;AG-POL;
99;;AG-RES;
99;;AG-RIE;
99;;AG-SAN;
99;;AG-TEC;
99;;AS;
99;;AS-AGR;
99;;AS-AGU;
99;;AS-DRA;
99;;AS-GRH;
99;;AS-SAR;
99;;AS-SAU;
99;;AS-SOL;
99;;AS-SOS;
99;;Agri-Infrastructure;Agri-Infrastructure (Percentage = % of PIDG Funding Committed)
99;;Agricultural Research and Grant Management ;Technical Assistance
99;;Agriculture and women empowerment;The project is targeting women farmers empowerment
99;;Basic Health Care;RMNCH - Improving the Reproductive, Maternal, Newborn and Child Health of Vulnerable Women, Adolescent Girl and Their Childrn in Central and Eastern Equatoria States of South Sudan
99;;Basic Needs;Basic Needs
99;;Basic Needs-Distribution;Basic Needs-Distribution
99;;Basic Needs-Distribution ;Basic Needs-Distribution
99;;CBSCR;Community Based Security and Citizen's Rigths
99;;CE;Complex Emergency
99;;CO;Conflict
99;;CP;Child Protection (CP)
99;;CPEDU;"Child Protection (CP); Education (EDU)"
99;;CPEDUPARPSS;"Child Protection (CP); Education (EDU); Participation (PAR); Psychosocial Support (PSS)"
99;;CPEDUPSS;"Child Protection (CP); Education (EDU); Psychosocial Support (PSS)"
99;;CPPAR;"Child Protection (CP); Participation(PAR)"
99;;CPPSS;"Child Protection (CP); Psychosocial Support (PSS)"
99;;CU;Civil unrest
99;;Capital Market Development;Capital Market Development (Percentage = % of PIDG Funding Committed)
99;;Climate Change;Low Carbon Development
99;;Conflict Management;Conflict Management
99;;Conflict Management, Basic Needs, Governance;
99;;Conflict Management, Basic needs, Governance;
99;;DR;Drought
99;;DU;
99;;DU-HER;
99;;DU-LAN;
99;;DU-NEI;
99;;DU-VIV;
99;;Disability;
99;;Disability;Q8 payment received
99;;Disability;Q8 Quarterly expenditure report submission
99;;Disability;q9 expenditure report
99;;DwtP;Dealing with the Past
99;;ECONOMIC DEVELOPMENT ;ECONOMIC DEVELOPMENT
99;;ED;
99;;ED-COM;
99;;ED-DOC;
99;;ED-ICT;
99;;ED-PRE;
99;;ED-PRI;
99;;ED-SEC;
99;;ED-STW;
99;;ED-VOC;
99;;EDUCATION SUPPORTS;EDUCATION SUPPORTS
99;;EDUCATION SUPPORTS;
99;;EDUCATION SUPPORTS - INFORMAL EDUCATION;
99;;EDUPSS;"Education (EDU); Psychosocial Support (PSS)"
99;;EN;
99;;EN-D&T;
99;;EN-EEC;
99;;EN-ERT;
99;;EN-HID;
99;;EN-INS;
99;;EN-INT;
99;;EN-PET;
99;;EN-REH;
99;;EN-TER;
99;;EP;Epidemic
99;;EQ;Earthquake
99;;Economic Development;Economic Development
99;;Economic Development & Conflict Management;
99;;Economic Development - Financial Services;Economic Development - Financial Services
99;;Economic Development - Financial Services;
99;;Education;
99;;Education Supports;
99;;Energy Generation/T&D;Energy Generation/T&D (Percentage = % of PIDG Funding Committed)
99;;Evaluation;Evaluation Services
99;;Evaluation Services;Evaluation Services
99;;FF;Flash Flood
99;;FL;Flood
99;;FM-BNK;
99;;FM-CAP;
99;;FM-FES;
99;;FM-INC;
99;;FM-MOR;
99;;FM-REG;
99;;FM-RSK;
99;;FOOD SECURITY;FOOD SECURITY
99;;Food security;Food security
99;;Gender & Media;
99;;Gender Based Violence;
99;;Gender and Livelihoods;
99;;Gender and Media;
99;;Girl child education in refugee context;
99;;Global Action 3: Emergency and disaster risk reduction;Global Action 3: Emergency and disaster risk reduction
99;;Governance;Governance
99;;Governance;Improve Governance in Nigeria
99;;Governance & Economic Development;
99;;Governance & Economic Developmet;
99;;Governance and PFM;Technical Assistance
99;;Grant payments;
99;;HD;Humanitarian Disarmament
99;;Health;
99;;Health/TB;TB and HIV/TB co-infection
99;;Household fuel security ;
99;;Housing;Housing (Percentage = % of PIDG Funding Committed)
99;;IN;
99;;IS;
99;;IS-ECD;
99;;IS-EMP;
99;;IS-GDI;
99;;IS-IND;
99;;IS-LIS;
99;;IS-MIG;
99;;IS-POV;
99;;IS-PSS;
99;;IS-SEC;
99;;IS-VOC;
99;;IS-YAR;
99;;Income Generation;
99;;Industrial Infrastructure;Industrial Infrastructure (Percentage = % of PIDG Funding Committed)
99;;Journalism in Conflict Areas;
99;;LS;Land Slide
99;;Literacy;Functional Adult Literacy
99;;Livelihoods;
99;;Livelihoods, SRHR, Civic Participation, Youth Leadership;Training on life skills, livelihoods schemes, civic education, SRHR
99;;Lobby & Advocacy;
99;;Low Carbon;
99;;MS;Mud Slide
99;;Media and Accountability;
99;;Micro-enterprise and livelihoods ;
99;;Mircofinance;
99;;MultiSector;MultiSector (Percentage = % of PIDG Funding Committed)
99;;NA;n/a
99;;NRC&HR;Natural Resources Conflict and Human Rigths
99;;Nutrition and Food Security for Himalayan Children;Nutrition and Food Security for Himalayan Children
99;;OT;Other
99;;Operating expenses;
99;;PA;
99;;PA-ADA;
99;;PA-AMB;
99;;PA-BIO;
99;;PA-COS;
99;;PA-DRM;
99;;PA-FCC;
99;;PA-FOR;
99;;PS;
99;;PS-EMP;
99;;PS-MDF;
99;;PS-MIC;
99;;PS-NEG;
99;;PS-PYM;
99;;PUBLIC HEALTH;PUBLIC HEALTH
99;;PUBLIC HEALTH ;PUBLIC HEALTH
99;;PoC;Protection of Civilans
99;;Poverty Alleviation;
99;;Poverty alleviation;
99;;Prevention of Violence Against Women and Girls;
99;;Program;BASE and WVAF
99;;Program;BASE and WVAF with coordination with other relevant line agencies and political bodies of Nepal
99;;Program;WVAF and BASE
99;;Program;BASE
99;;Protection and Health for People with Specific Needs;"Protection and Health for People with Specific Needs; provision of / access to special services."
99;;RI-ENA;
99;;RI-RCC;
99;;RM;
99;;RM-DBT;
99;;RM-DES;
99;;RM-EGO;
99;;RM-ETI;
99;;RM-FIN;
99;;RM-FIS;
99;;RM-JUS;
99;;RM-MFR;
99;;RM-PUB;
99;;RM-SUB;
99;;SA;
99;;SA-HSS;
99;;SA-NUT;
99;;SA-PHC;
99;;SA-SER;
99;;SS;Storm Surge
99;;ST;
99;;ST-HRD;
99;;ST-RDI;
99;;Safety for Journalists;
99;;Security, Justice, and Defence ;Technical Assistance
99;;Sustainable Resourcing;
99;;TB/HIV;
99;;TB/HIV/Equal access;
99;;TC;Tropical Cyclone
99;;TD;
99;;TD-EIP;
99;;TD-TAA;
99;;TD-TFL;
99;;TR;
99;;TR-AED;
99;;TR-FEI;
99;;TR-INT;
99;;TR-LPM;
99;;TR-UIN;
99;;TR-UMA;
99;;TR-VMA;
99;;TR-VPR;
99;;TR-VRU;
99;;TR-VSE;
99;;TR-VSI;
99;;TS;Tsunami
99;;TU;
99;;TU-DES;
99;;Telecoms;Telecoms (Percentage = % of PIDG Funding Committed)
99;;Transport;Transport (Percentage = % of PIDG Funding Committed)
99;;UNDEFI;
99;;VO;Volcano
99;;VW;Violent Wind
99;;Water and Infrastructure ;Technical Assistance
99;;Water, Sewerage and Sanitation;Water, Sewerage and Sanitation (Percentage = % of PIDG Funding Committed)
99;;Youth & Media;
99;;disability;Q9 income received
99;;disability;
99;;disability;Q10 Expenditure report
99;;disability;q9 income received
99;;international development;Women's equality organisations and institutions
99;;international development;Women's Equality Organisations and Institutions
99;;program;
99;;program;BASE and WVAF
99;;program;WVAF and BASE
99;;text;Development Aid from people to people
99;;text;Development aid from people to people
99;;text;
99;;text;Percentage contributed
99;Ecomic Justice;15164;
99;Gender Based Violence;15164;
99;Sustainable Resourcing;Sustainable Resourcing;
99;http://women.nl;15164;
99;http://www.mercycorps.org.uk/;EDUCATION SUPPORTS - INFORMAL EDUCATION;EDUCATION SUPPORTS - INFORMAL EDUCATION
99;http://www.oxfamnovib.nl/Mission-and-vision;1;
99;http://www.oxfamnovib.nl/Mission-and-vision;10;
99;http://www.oxfamnovib.nl/Mission-and-vision;2;
99;http://www.oxfamnovib.nl/Mission-and-vision;3;
99;http://www.oxfamnovib.nl/Mission-and-vision;4;
99;http://www.oxfamnovib.nl/Mission-and-vision;5;
99;https://sustainabledevelopment.un.org/?menu=1300;31165;Rural Developement, Agriculture
ADT;;;
ADT;;;Strengthening civil society
ADT;;;Strengthening Civil Society
ADT;;;The project aims to empower women as well as enhance their livelihood security
ADT;;15200;Conflict prevention and resolution, peace and security, combinations of activities
ADT;;15200 ;Conflict prevention and resolution, peace and security, combinations of activities
ADT;;15220;Civilian peace-building, conflict prevention and resolution
ADT;;15220 ;Civilian peace-building, conflict prevention and resolution
ADT;;32310;Government and civil society, general
ADT;;HEALTH;ADOLESCENT AND YOUNG PEOPLE'S SEXUAL AND REPRODUCTIVE HEALTH
COFOG;;  ;
NACE;;01600000;Support activities to agriculture and post-harvest crop activities
NACE;;01612000;Land development or improvement
NACE;;02100000;Silviculture and other forestry activities
NACE;;06200000;Extraction of natural gas
NACE;;06201000;Natural gas liquefaction
NACE;;08100000;Quarrying of stone, sand and clay
NACE;;10000000;Manufacture of food products
NACE;;10400000;Manufacture of vegetable and animal oils and fats
NACE;;10610000;Manufacture of grain mill products
NACE;;17000000;Manufacture of paper and paper products
NACE;;20000000;Manufacture of chemicals and chemical products
NACE;;27510000;Manufacture of electric domestic appliances
NACE;;28300000;Manufacture of agricultural and forestry machinery
NACE;;29100000;Manufacture of motor vehicles
NACE;;32000000;Other manufacturing
NACE;;35000000;Electricity, gas, steam and air conditioning supply
NACE;;35100000;Electric power generation, transmission and distribution
NACE;;35110000;Production of electricity
NACE;;35111200;Thermal power stations: fuel oil
NACE;;35111300;Thermal power stations: natural gas
NACE;;35112100;Hydropower: conventional (with storage)
NACE;;35112200;Hydropower: run of the river
NACE;;35113000;alternative and renewable sources of energy
NACE;;35113100;RE : biomass
NACE;;35113300;RE : solar PV
NACE;;35113310;RE : solar CSP
NACE;;35113400;RE : wind - onshore
NACE;;35113700;Other RE
NACE;;35120000;Transmission of electricity
NACE;;35121000;high-voltage transmission
NACE;;35121100;power grid management
NACE;;35121200;Renewable Energy  Transmission infrastructures
NACE;;35130000;Distribution of electricity
NACE;;35301000;Heat production plants
NACE;;35301100;Heat supply
NACE;;36000000;Water collection, treatment and supply
NACE;;36100000;drinking water supply
NACE;;36100300;water supply
NACE;;36100400;water distribution
NACE;;36100500;supply and sewerage
NACE;;36101000;other water sector activities
NACE;;37000000;Sewerage
NACE;;37100000;Wastewater treatment
NACE;;37100300;Wastewater treatment and storage
NACE;;38000000;"Waste collection, treatment and disposal activities; materials recovery"
NACE;;38110000;Collection of non-hazardous waste
NACE;;38111000;Collection of recyclable materials/biowaste
NACE;;38211000;Municipal waste
NACE;;38211100;Waste sorting
NACE;;38211200;Biological treatment
NACE;;38211300;New municipal waste landfills
NACE;;38211600;Closure/rehabilitation of landfills
NACE;;41201000;urban infrastructure
NACE;;41201100;urban renewal
NACE;;41201200;public buildings
NACE;;41201400;housing
NACE;;41202000;urban development schemes
NACE;;41202300;composite infrastructure
NACE;;42100000;Construction of roads and railways
NACE;;43100000;Demolition and site preparation
NACE;;49310000;Urban and suburban passenger land transport
NACE;;49390000;Other passenger land transport n.e.c.
NACE;;49501100;gaslines
NACE;;51000000;Air transport
NACE;;52211000;conventional railways
NACE;;52211100;conventional railways: track, signalling, buildings
NACE;;52211200;conventional railways: rolling stock and locomotives
NACE;;52213000;urban passenger transport
NACE;;52213100;urbain railways
NACE;;52213200;conventional underground lines
NACE;;52213500;rolling stock (buses)
NACE;;52213600;urban road networks
NACE;;52214000;roads and motorways
NACE;;52214100;motorways
NACE;;52214200;roads
NACE;;52214400;bridges and tunnels
NACE;;52221000;sea port installations/river development works
NACE;;52231000;airports and airport installations
NACE;;61000000;Telecommunications
NACE;;61101400;Fibre access networks
NACE;;64000000;Financial service activities, except insurance and pension funding
NACE;;64191000;banks
NACE;;64200000;Activities of holding companies
NACE;;64900000;Other financial service activities, except insurance and pension funding
NACE;;64901000;Venture Capital Fund
NACE;;64901300;Venture Capital Fund Regional
NACE;;64902300;Development Funds Regional
NACE;;64920000;Other credit granting
NACE;;64922000;specialist financial institutions (SDR, etc.)
NACE;;64992000;special purpose vehicles
NACE;;66300000;Fund management activities
NACE;;72000000;Scientific research and development
NACE;;85000000;Education
NACE;;85300000;Secondary education
NACE;;86100000;Hospital activities
NACE;;93000000;Sports activities and amusement and recreation activities
NACE;;ZZ000000;Global Loans, Loans for SMEs, Loans for SMEs and Mid-Caps, Loans for Mid-Caps
RO;;;MCH & Livelihood Oportuniteis
RO;;;
RO;;;WA1 Organisational strengthening & inclusiveness-Deliverable 01. Member participation
RO;;;WA1 Organisational strengthening & inclusiveness-Deliverable 02. Human and other resources
RO;;;WA1 Organisational strengthening & inclusiveness-Deliverable 03. Financial management
RO;;;WA1 Organisational strengthening & inclusiveness-Deliverable 04. Democratic governance
RO;;;WA1 Organisational strengthening & inclusiveness-Deliverable 06. Diversity policy
RO;;;WA1 Organisational strengthening & inclusiveness-Deliverable 05. Membership base
RO;;;WA2 Institutional development-Deliverable 08. Alliances and agreements
RO;;;WA3 Policy elaboration & advocacy-Deliverable 09. Participatory policy formulation
RO;;;WA3 Policy elaboration & advocacy-Deliverable 12. Policy adoption
RO;;;WA3 Policy elaboration & advocacy-Deliverable 10. Joint advocacy
RO;;;WA3 Policy elaboration & advocacy-Deliverable 11. External communication
RO;;;WA4 Farmer-led economic development-Deliverable 13. Farmers' access to resources
RO;;;WA4 Farmer-led economic development-Deliverable 14. Farmers’ access to inputs
RO;;;WA4 Farmer-led economic development-Deliverable 15. Processing and handling
RO;;;WA4 Farmer-led economic development-Deliverable 16. Marketing
RO;;;WA4 Farmer-led economic development-Deliverable 17. Rural enterprises
RO;;;WA4 Farmer-led economic development Deliverable 13. Farmers' access to resources
RO;;;WA1 Organisational strengthening & inclusiveness Deliverable 01. Member participation
RO;;;WA3 Policy elaboration & advocacy Deliverable 09. Participatory policy formulation
RO;;;WA4 Farmer-led economic development Deliverable 16. Marketing
RO;;;WA1 Organisational strengthening & inclusiveness Deliverable 06. Diversity policy
RO;;;WA4 Farmer-led economic development Deliverable 14. Farmers’ access to inputs
RO;;;WA3 Policy elaboration & advocacy Deliverable 12. Policy adoption
RO;;;WA1 Organisational strengthening & inclusiveness Deliverable 03. Financial management
RO;;;WA4 Farmer-led economic development Deliverable 17. Rural enterprises
RO;;;WA1 Organisational strengthening & inclusiveness Deliverable 05. Membership base
RO;;;WA4 Farmer-led economic development Deliverable 15. Processing and handling
RO;;;WA3 Policy elaboration & advocacy Deliverable 10. Joint advocacy
RO;;;Farmers Fighting Poverty '07-'10 work area 05: Grass-roots Participation
RO;;;WA1 Organisational strengthening & inclusiveness Deliverable 02. Human and other resources
RO;;;Farmers Fighting Poverty '07-'10 work area 19: Planning, Monitoring & Evaluation
RO;;;WA2 Institutional development Deliverable 07. External positioning
RO;;;IFAP Priority Areas '07-'10 IFAP 04: Involve farmers in decisionmaking processes
RO;;;Farmers Fighting Poverty '07-'10 work area 04: Institutional Development (IS)
RO;;;WA1 Organisational strengthening & inclusiveness Deliverable 04. Democratic governance
RO;;;IFAP Priority Areas '07-'10 IFAP 10: Increase market power for farmers
RO;;;Farmers Fighting Poverty '07-'10 work area 18: Strengthening of support
RO;;;WA2 Institutional development Deliverable 08. Alliances and agreements
RO;;;IFAP Priority Areas '07-'10 IFAP 03: Enhance capacity of farmers' organisations
RO;;;Farmers Fighting Poverty '07-'10 work area 01: Participatory Policy Formulation
RO;;;Farmers Fighting Poverty '07-'10 work area 03: Internal organisational strengthening (OS)
RO;;;Farmers Fighting Poverty '07-'10 work area 11: Market & Chain Development
RO;;;Farmers Fighting Poverty '07-'10 work area 17: Processing of agricultural products
RO;;;Farmers Fighting Poverty '07-'10 work area 07: Agricultural Development (crops)
RO;;;Farmers Fighting Poverty '07-'10 work area 06: Development of training modules & facilities
RO;;;Farmers Fighting Poverty '07-'10 work area 02: Financial management
RO;;;Farmers Fighting Poverty '07-'10 work area 16: Diversification in agriculture (rural non-farm economic activities)
RO;;;Farmers Fighting Poverty '07-'10 work area 15: Information & Communication Technology (ICT)
RO;;;Farmers Fighting Poverty '07-'10 work area 10: Farmer-to-Farmer Agricultural Extension
RO;;;Farmers Fighting Poverty '07-'10 work area 08: Banking and Credit sector (including Insurance)
RO;;;Farmers Fighting Poverty '07-'10 work area 14: Gender and Women in Development
RO;;;Farmers Fighting Poverty '07-'10 work area 12: Research for Development in agriculture
RO;;;Farmers Fighting Poverty '07-'10 work area 13: Other services to agriculture
RO;;;Farmers Fighting Poverty '07-'10 work area 09: Inputs for agriculture
RO;;;WA3 Policy elaboration & advocacy Deliverable 11. External communication
RO;;;Public Sector Management
RO;;;Energy
RO;;;Transport
RO;;;Water and other urban infrastructure and services
RO;;;Public sector management
RO;;;Industry and trade
RO;;;Agriculture, natural resources and rural development
RO;;;Education
RO;;;Health
RO;;;Finance
RO;;;Industry And Trade
RO;;;Multisector
RO;;;Information and communication technology
RO;;;Industry and Trade
