reporting-org;result;indicator
41122;;Proportion de filles et garçons de 6-59 mois ayant reçu de la vitamine A au cours des 6 derniers mois
41122;;Document de Politique nationale d'alimentation et de nutrition disponible
41122;;Politique d'Alimentation et de la Nutrition disponible
41122;;Plan Stratégique de la nutrition et de l'alimentation budgétisé et validé diponible
41122;;Nombre de Zones sanitaires offrant les services de prévention et de prise en charge de la malnutrition
41122;;Nombre de Centres de Nutrition Thérapeutiques fonctionnels (CNT)
41122;;Proportion de garçons et de filles de moins de 5 ans en situation d'urgence qui bénéficient d'un suivi nutritionnel adéquat
41122;;Nombre de réunions statutaires tenues par le Comité National pour l'Alimentation et la Nutrition
41122;;Nombre d'enfants issus des ménages pauvres des communes d'intervention  dotés en Fournitures scolaires
41122;;Taux d'achèvement du cycle d'études primaires
41122;;Nombre de filles vulnérables du secondaire appuyées dans 11 des 18 communes d'intervention ayant les plus faibles taux de scolarisation
41122;;Pourcentage de filles vulnérables appuyées admises en classe supérieure
41122;;% d'enfants malnutris modérés admis dans le programme de prise en charge supplémentaire
41122;;% d'enfants malnutris sévères couverts par la prise en charge thérapeutique
41122;;%  des fonds mobilises pour las activités de routine  et supplémentaires de vaccination
41122;;Proportion de filles et de garçons souffrant d'ARI correctement pris en charge.
41122;;Proportion de filles et de garçons souffrant de diarrhée correctement pris en charge.
41122;;Disponibilité d'un plan pluriannuel sur le besoin en produits de la vaccination
41122;;Proportion des centres de santé qui n'ont pas connu de rupture de stock de produits de vaccination
41122;;Taux de couverture en VIT A
41122;;Taux de couverture en PENTAVALENT 3
41122;;Taux de couverture rougeole
41122;;Proportion des centres de santé qui ont un système fonctionnel de conservation des vaccins
41122;;% de femmes enceintes supplémentées en fer-folates
41122;;% de mères supplémentées en vitamine A post-partum
41122;;Proportion d'enfants recevant des suppléments de micronutriments/aliments fortifiés (vitamine A )
41122;;Proportion d'enfants recevant des suppléments de micronutriments/aliments fortifiés (Sprinkles)
41122;;% d'enfants de 0 ¿ 6 mois exclusivement allaités au sein
41122;;% d'enfants de 6 à 36 mois admis dans le blanket feeding
41122;;% d'enfants nés de mères HIV+ ayant reçu des ARV
41122;;Disponibilité des fonds pour  la PTPE
41122;;% de centre de santé qui dispose de service de la santé de la reproduction
41122;;Pourcentage des pères impliqués dans la filière PTPE
41122;;pourcentage des femmes enceintes testées pour le VIH et ayant récuperer les résultats
41122;;% des femmes enceintes HIV+ ayant reçu un traitement aux l'ARV (prophylaxie)
41122;;pourcentage des femmes enceintes ayant recu un traitement par le fer/folate
41122;;% de femmes enceintes ayant accepté le dépistage volontaire au VIH/SIDA
41122;;% des femmes enceintes ayant effectué quatre consultations prénatales et plus
41122;;Taux d'allaitement maternel exclusif
41122;;Taux de couverture de prise en charge de la malnutrition
41122;;Nombre de sites de prise en charge communautaire de la malnutrition
41122;;Number of mothers or caregivers counseled on IYCF
41122;;%Complimentary Feeding
41122;;% children exclusively breastfed
41122;;Number of IYCF support groups formed and active
41122;;Percentage of children <5 years who received two doses of Vitamin A in the last 2 MNCHWs rounds.
41122;;% of households with access to iodised salt
41122;;% of Under five children with diarrhoea treated with Zinc/ORS
41122;;% of pregnant mothers receiving iron-folate tablets.
41122;;% children 6-59 months reached with Vitamin A capsules
41122;;% children 12-59 months reached with Deworming tablets
41122;;% of households with access to vitamin A fortified flour  sugar and vegetable oil.
41122;;Percent of children 6-59 months received vitamin A
41122;;Percent of children 12-59 months received albendazole for deworming
41122;;Number of pregnant women receiving iron and folic acid tablets
41122;;Number of children under five with acute diarrhoea treated with Zinc & LO-ORS
41122;;National Nutrition Policy updated
41122;;GIS map of nutrition programme coverage
41122;;Updated nutrition policy and strategic action plan
41122;;Updated situation analysis reports based on secondary data
41122;;National nutrition policy revised
41122;;Nutriiton costed strategic plan completed
41122;;Nutrition advocacy strategy developed
41122;;Percentage of children <5 who did NOT default from SAM treatment
41122;;% of SAM cured
41122;;Number of children with Severe Acute Malnutrition (SAM) treated
41122;;Percent of children with Severe Acute Malnutrition (SAM) cured
41122;;Percent of children with Severe Acute Malnutrition (SAM) died
41122;;Percent of children with Severe Acute Malnutrition (SAM) defaulted
41122;;# CSOs and NGOs with capacities for monitoring basic educational programmes
41122;;# of SMBC members with capacity in whole school development planning  and school health programme
41122;;# of schools operating school accounts
41122;;# of  SMBC members with capacity in whole school development planning  pedagogy  etc
41122;;# of schools with Mothers Associations supporting girls education
41122;;Availability of policy on SBMC
41122;;# of Girls' education steering committees established at LGEA and community levels.
41122;;# of head teachers/teachers trained on school supervision and management within the child friendly framework
41122;;# states with schools established and managed on CFS principles and practices
41122;;# of teacher training institutions using child centered participatory teaching/learning methodologies in each focus states
41122;;Number of states with their SESP budgets aligned to State Annual budgets
41122;;# of teacher training institutions using child centred participatory teaching/learning methodologies in each focus states
41122;;Percentage of Children 6-23 months receiving minimum acceptable (meal frequency   dietary diversity)
41122;;Number of community groups supported to assist mothers to appropriately feed children under 2 years
41122;;Number of pregnant and lactating women reached with IYCF
41122;;Number of children under five with acute diarrhoea treated with zinc and LO-ORS.
41122;;Percent of children 6-59 months received at least 1 dose of vitamin A in last 6 months
41122;;Percentage pregnant women receiving iron and folic acid tablets
41122;;Nutrition Emergency Preparedness and Response Plan developed and operationalized
41122;;Number of National and States specific costed nutrition strategic plan developed
41122;;Number of functional National and States food and nutrition committees
41122;;Number of action plans for policy implementation drafted with GoI
41122;;Number of new gender-sensitive policies developed jointly with GoI adapted to international regulations and standards
41122;;Number of policies reviewed jointly with GoI
41122;;Under 1 year old children vaccinated against measles through routine immunization
41122;;Newborn babies of conflict-affected families benefitting from newborn home services
41122;;Children provided with access to growth monitoring (nutrition screening) services
41122;;Children 0 - 59 months vaccinated against Polio in crises affected areas through campaigns
41122;;Percentage of targeted women with increased knowledge on the best nutrition practices of children  especially breastfeeding
41122;;National coverage of DPT3
41122;;National coverage of Penta
41122;;Percentage of all pregnant women and mothers with children under 6 months in Viet Nam are exposed to exclusive breastfeeding messaging (mass media)
41122;;Availability of the approved revision of the Social Health Insurance Law and the guiding Circular of MOH with provisions on nutrition services and products to be covered by health insurance
41122;;Availability of national and provincial data on additional recommended nutrition indicators with more disaggregated data by province  sex  ethnicity  and income quintiles
41122;;Availability of policies and regulations on infant and young child feeding that are in line with recommendations in the global strategy
41122;;% de centros públicos de atención materno infantil priorizados  certificados en Iniciativa Hospital Amigo del Niño
41122;;% de incremento en el número de niños y niñas que tienen acceso a servicios de alimentación del lactante y del niño pequeño
41122;;Porcentaje de centros de salud de 14 estados priorizados que aplican adecuadamente el cuidado neonatal  acorde con el protocolo.
41122;;Porcentaje de pediatras y personal de salud que atienden niños <2 años que promueven y protegen la lactancia materna  acorde con el Código Internacional de Comercialización de Sucedáneos de la Leche Materna.
41122;;Reglamento de Ley de Promoción y Protección de la Lactancia Materna aprobado y difundido.
41122;;Common results framework for nutrition available
41122;;A national nutrition strategy and costed plan available
41122;;(1) Existence de loi sur le suivi du code de commercialisation des substituts du lait maternel  (2) Existence d'une politique sur l'Alimentation du Nourisson et du jeune Enfant
41122;;Proportion de formations sanitaires avec Initiative Hôpitaux Amis des Bébé (IHAB)
41122;;Pourcentage d'enfants cibles ayant reçu deux doses de vitamine A et déparasitant an
41122;;Nombre de villages offrant des activités de nutrition communautaire les zones ciblées
41122;;Proportion de ménages utilisant du sel iodé sur le plan national
41122;;Proportion de femmes ne donnant pas de liquide aux enfants de moins de 5 mois
41122;;Percentage of children aged 12 to 59 months receiving deworming tablets twice a year
41122;;Percentage of children aged 6 to 59 months receiving Vitamin A supplementation twice a year
41122;;Taux de couverture vaccinale effective (notamment respect de la chaine de froid)
41122;;Taux d'abandon entre Penta 1 et penta 3
41122;;Proportion des enfants de < 1 an vaccinés contre la rougeole (désagrégée par sexe  quintile et résidence)
41122;;Proportion des enfants < 1 an recevant 3 doses de vaccins combinés Pentavalents (désagrégée par sexe  quintile et résidence).
41122;;Taux de disponibilité des vaccins à tous les niveaux (National  Régions  Districts  Centres PEV)
41122;;% de Districts Sanitaires pratiquant la stratégie avancée dans le cadre de l'intensification du PEV de routine
41122;;Nombre de structure de santé offrant le service de prise en charge de la malnutrition aiguë sévère.
41122;;Proportion d'enfants malnutris sévère prise en charge dans les zones ciblées
41122;;Proportion d'enfants malnutris aiguë sévère sortis guéris
41122;;Percentage of mothers receiving IYCF counselling in targeted areas
41122;;Number of baby-friendly accredited hospitals
41122;;Proportion of regions  districts and health centers with quality cold chain equipment
41122;;Number of districts implementing the outreach strategy
41122;;Number of health center newly offering Basic Emergency Obstetric and Newborn Care  (B EmONC)
41122;;Number of hospitals newly offering Comprehensive Emergency Obstetric and Newborn Care (C EmONC)
41122;;Availability of tracer drugs in the  17 Districts supported by ECHO
41122;;% d'enfants 0-23 mois beneficiant de suivi promotion de la croissance
41122;;% d'enfant bénéficiant d'une surveillance nutritionnelle régulière
41122;;% d'enfants malnutris aigue dépistés pris en charge
41122;;% d'enfants exclusivement allaités au cours des 6 premiers mois
41122;;% de ménage consommant du sel iodé
41122;;% d'UREN n'ayant pas connu de rupture de stocks en plumpynut au cours des 3 derniers mois
41122;;Niveau d'exécution du budget du Programme de Renforcement de la Nutrition (PRN) pris en charge par l'Etat
41122;;% de FS qui organisent mensuellement une séance de Suivi - Promotion de la Croissance (SPC)
41122;;% de mères/gardiennes d'enfants qui reportent que les enfants doivent être exclusivement allaités jusqu'à l'âge de 6 mois
41122;;% de mères qui reportent appliquer les conseils nutritionnels  reçus
41122;;% de postes de santé ayant une unité opérationnelle de prise en charge de la malnutrition aigüe en ambulatoire (UREN)
41122;;La lettre de politique nationale de nutrition est révisée
41122;;Nombre de suivi effectué par l'équipe conjointe du District au cours des 6 derniers mois
41122;;% de FS ayant bénéficié d'un appui (financier  médicaments  matériels  formation) pour faciliter l'accès aux services de prise en charge de la malnutrition
41122;;-% de Districts Sanitaires couverts par les services de prise en charge de la Malnutrition Aigüe Sévère
41122;;% de postes de santé couverts par les services de prise en charge de la malnutrition aigue sévère
41122;;% d'enfants deparasités
41122;;Number of health policy documents revised and validated
41122;;Number of health units ensuring the minimum health care  comprising immunization services  Vit A supplementation  deworming  ITN distribution  Antenatal Care  PMTCT and IMCI .
41122;;Number of districts with key health personnel trained on cold chain management.
41122;;Percentage of births at Baby-friendly Hospitals
41122;;% of maternity wards certified as baby-friendly and mother friendly nationwide
41122;;Status of incorporation and application of nationally aligned prenatal education standards by the health system
41122;;% of NICU implementing best B/MFHI practices of care
41122;;# facilities implementing the BF 10 steps and certified as baby friendly facilities.
41122;;% of Households in 3 high risk govrenorates who shifted to the utiliztion of iodized salt.
41122;;% of women exclusively breast feed their children for 6 months.
41122;;% of pregnant mothers to conduct at least 4 ante-natal visits.
41122;;Urbacn YCSD study completed.
41122;;MORES System is established and Piloted for Perinatal Care Programme.
41122;;Newly established Nutrition Unit is operating at the MoHP.
41122;;% of children age 1 year who received vitamin A supplementation (disaggregated by intervention governorates)
41122;;% of live births attended by a skilled health provider-in targeted intervention areas- disaggregate by intervention governorates
41122;;% of children under 5 who received vitamin A supplementation (disaggregated by intervention governorates and gender)
41122;;Extent of community/social norms in support pre-lacteal feeds (norm compromising early initiation of breastfeeding)
41122;;Mean number of days per month with a shortage of iron and folate tablets (in the villages covered by the perinatal care programme)
41122;;Mean number of ANC visits per pregnant woman (recommended norm 4)
41122;;% of mothers registering into ANC before 13 weeks of gestation
41122;;% of newly delivered mothers who received PNC within 48 hours of delivery
41122;;Assessment of quality of Growth Monitoring
41122;;Proportion of hospitals applying the 10 steps of the Baby-friendly hospital initiative (BFHI)
41122;;Adequate ratio of Community Health Workers to the resident population in the areas covered by the perinatal care programme (recommended norm is 1 CHW per 1750 people)
41122;;% of women identified as high risk pregnancy referred to higher level of care and got feedback
41122;;Ratio of physicians to population in the villages covered by the perinatal care programme (national norm 1 physician for 5000 resident population)
41122;;# of public health facilities (FHUs/PCHUs) providing integrated MNCH services as per MoHP protocols in targeted intervention areas (disaggregated by intervention governorate)
41122;;# of sentinel sites with functioning nutrition surveillance system
41122;;# of FHUs with institutionalised MORES  in intervention areas disaggregated by governorate
41122;;% of caretakers who can cite three critical times for hand washing
41122;;% of births where mother received at least 4 antenatal care visits during pregnancy in targeted intervention areas
41122;;% of children under-2 who were put to the breast within one hour from birth in targeted intervention areas
41122;;% of women registering into ANC before 13 weeks of pregnancy
41122;;% of infants 4-5 months of age who are fed exclusively with breast milk (disaggregated by intervention area and gender)
41122;;% des enfants (filles et garçons) de 6 à 59 mois atteints de malnutrition aiguë sévère et pris en charge dans CNA  CNTI
41122;;% des enfants (filles et garçons) de 12-59 mois ayant reçu au moins une dose de déparasitant.
41122;;% des enfants (filles et garçons) de 6-59 mois ayant reçu au moins une dose de vitamine A.
41122;;% des mères ayant des enfants de 0 à 24 mois qui pratiquent l'alimentation minimale acceptable (proportion d'enfants de 6 à 23 mois qui ont à la fois la fréquence minimale et la diversité minimale)
41122;;% d'écoles de formation du personnel de la santé et des facultés de Médicine qui ont intégré la nutrition dans leur curriculum
41122;;Le cadre commun des résultats (CRC) en vue de l'alignement des programmes axés sur la nutrition et des programmes sectoriels est effectif
41122;;Nombre de régions qui disposent d'une plateforme multisectorielle et multi-acteurs de coordination de la nutrition
41122;;Nombre des documents de politique de nutrition élaborés  revus et validés en accord avec les derniers développements en Santé  publique et nutrition
41122;;Nombre des documents de politique de nutrition élaborés  revus et validés
41122;;Nombre de campagnes SASNIM organisées
41122;;Pourcentage d'enfants de 6-59 mois supplémentés et vitamine A
41122;;Pourcentage des femmes en postpartum qui ont reçu un supplément de vitamine A
41122;;Pourcentage d'enfants âgés de 12-59 mois ayant été déparasités
41122;;Nombre de districts qui appliquent la grille PBF revisee integrant les indicateurs de Nutrition
41122;;Taux moyen de disponibilité de la vitamine A dans les régions du Cameroun
41122;;Pourcentage de RUTF disponible dans les zones d'intervention
41122;;Pourcentage de MNP disponible dans la region du Nord
41122;;Pourcentage des formations sanitaires metant en oeuvre les activites ANJE dans les zones d'intervention
41122;;Nombre de districts sanitaires qui mettent en oeuvre de manière synergétique le modèle de prévention de la malnutrition chronique
41122;;Existance d'un modèle de prévention de la malnutrition chronique
41122;;Nombre d'organisations locales qui mènent des interventions de nutrition communautaire
41122;;Nombre de communes dont les Plans Communaux de Développement dispose d'au moins un objectif lié à la nutrition
41122;;Nombre de communautés qui adhèrent à l'approche de nutrition communautaire dans les zones d'intervention prioritaire
41122;;Nombre de communautés disposant des mécanismes actifs de soutien à la nutrition fonctionnels
41122;;Nombre de formulations vulgarisées et utilisées
41122;;Nombre d'unités de production locales d'aliment de complément de qualité opérationnelles dans les zones d'intervention
41122;;Nombre de documents politiques et de stratégies sectorielles et plans d'action prioritaires (PAP) ayant intégré au moins une intervention spécifique ou sensible à la nutrition.
41122;;Pourcentage du budget du Ministère de la santé publique allouée à la nutrition
41122;;Nombre de curricula des secteur santé  agriculture et social qui intègrent la nutrition humaine
41122;;% Embarazadas con ganancia de peso inferior a lo optimo según el estado nutricional al inicio de la gestación
41122;;Personal capacitado para la vigilancia de la fortificación de los purés de frutas en el proceso de garantía de calidad de este alimento.
41122;;Tasa de prevalencia de anemia en niños entre 6 y 35 meses de edad. Según estratos urbano  rural y de montaña.
41122;;Tasa de prevalencia de deficiencia de Vitamina A en prescolares cubanos.
41122;;Tasa de lactancia materna exclusiva (%)
41122;;Porcentaje de gestantes anémicas al ingreso  que egresan sin anemia de los HOMA (HB>110g/l) - (%)
41122;;Porcentaje de niños y niñas graves en el servicio de Neonatología que no pueden ser lactados por su madre y que reciben lactancia materna a través de los BLH (%)
41122;;% dentro de la muestra de niños y niñas con yodurias menores 100mg/l
41122;;Niños que completan la formación básica de la natación
41122;;Grado de participación de niños y niñas en concurso Trazaguas y Círculos de interés.
41122;;Proportion of Children from 6 to 23 months of age who received foods from 4 or more food groups
41122;;Exclusive breastfeeding Under 6 months
41122;;Continued breastfeeding at 2 years
41122;;Proportion of breastfed and non-breastfed children from 6 to 23 months of age who receive solid  semi-solid  or soft foods (but also including milk feeds for non-breastfed children) the minimum number of times or more according to their age.
41122;;% of requests from COs for technical support fulfilled
41122;;# of high level statements referring to the importance of nutrition improvement for girls and boys
41122;;# of countries with at least one new/revised policy/guideline/ protocol in place that address undernutrition and particularly stunting reduction
41122;;# of countries with national institutions that have received support to collect and analyse nutrition data with an equity focus
41122;;# of countries in which at least 2 key decision makers have increased capacity to plan and manage nutrition programmes with focus on disadvantaged populations
41122;;# of higher medical teaching institutions (universities and nursing colleges) include evidence-based guidelines for early detection and care for children with developmental difficulties in teaching curricula
41122;;% of sufficiently resourced annual national MCH programmes targeting MCH disparities
41122;;% of municipalities with MCH indicators below national average that have increased financial resources for MCH programmes
41122;;# of fully resourced national MCH strategies targeting MCH disparities (Safe Motherhood Strategy  Immunization  Health Action Plan on Disability  Roma Decade Action Plan on Health)
41122;;% of implementation of national MCH strategies and annual action plans (Safe Motherhood Strategy  Immunization  Health Action Plan on Disability  Roma Decade Action Plan on Health)
41122;;Evidence-based guidelines for early detection/care for children with developmental difficulties and nutrition related developmental risks included in mandatory in-service training for patronage nurses
41122;;Proportion des mères d'enfants de 0-5 mois exclusiment allaites (proportion d'enfants de 0-5 mois qui la veille de l'enquete n'ont recu  rien d'autre que le lait maternel)
41122;;Proportion d'enfants exclusivement allaites et recevant une alimentation de complément de qualité
41122;;Proportion d'enfants couverts par la supplémentation en vitamine A et le déparasitage
41122;;Proportion de points de contrôle de sel iodé renforcés
41122;;Proportion de ménages utilisant le sel iode
41122;;Existence d'un paquet minimum de services
41122;;Nombre d'enfants vulnérables référés aux services dans 7 provinces
41122;;Nombre de familles assistées à travers un pilote de ¿transfers sociaux¿
41122;;Existence des critères de vulnérabilité
41122;;Nombre de volontaires communautaires formés et opérationnels
41122;;Nombre de travailleurs sociaux formés et opérationnels
41122;;Nombre de coordinations provinciales  territoriales et locales fonctionnelles
41122;;% d'enfants severement malnutris pris en charge selon l'approche du Plan d'action humanitaire
41122;;Nombre de staff UNICEF dédiés (au niveau national et provincial) au renforcement du cluster nutrition
41122;;Proportion de zone de santé avec plus de 10 % de MAG ayant reçu un appui pour la mise en ¿uvre de la PCCMA
41122;;% d'enfants sévèrement malnutris qui bénéficient d'une prise en charge selon l'approche PCCMA dans les zones a MAG ¿10%
41122;;% des épidémies de rougeole ayant connu une réponse appropriée
41122;;Taux de couverture en VAR par ZS affectée par les conflits.
41122;;Nombre IDPs pris en charge dans les sites de crise.
41122;;% de Zone de sante affectées par les urgences n'ayant pas de rupture de stock
41122;;% Aires de santé dans lesquelles les kits familiaux sont disponibles dans les communautés
41122;;% de structures de santé (des centres de santé et des hôpitaux de référence) dans les zones de santé  utilisant les ordinogrammes dans le cadre de la prise en charge correcte des maladies tueuses (diarrhee  IRA  Paludisme  MAS et infections neo natales)
41122;;% de structures de santé (des centres de santé et des hôpitaux de référence). qui offrent des services de prise encharge du VIH/SIDA pediatrique
41122;;% de ZS avec les sites de soins communautaires pour la prise en charge des cas de maladies tueuses (IRA  Paludisme  MAS  Infections neo natales) dans les zones de sante ciblees
41122;;% de structures de santé (des centres de santé et des hôpitaux de référence) ayant intégré la prise en charge de la malnutrition
41122;;% d'enfants nés de mères séropositives au VIH ayant fait le test de diagnostic précoce du VIH
41122;;% des femmes enceintes ayant bénéficié d'au moins 4 CPNs pendant la dernière grossesse dans l'AS d'intervention
41122;;% d'enfants de moins de 5 ans ayant dormi la nuit dernière sous une MILD de qualité
41122;;% des zones de santé ayant au moins 50% de couverture en multi-micronutriment
41122;;% Nouveaux-nés mis au sein dans l'heure qui suit la naissance
41122;;% Structures sanitaires qui ont au moins un personnel formé en ANJE
41122;;% Structures de santé qui offrent  les conseils et sensibilisation en ANJE
41122;;% des zones de santé qui offrent le counseling sur l'alimentation et la nutrition du jeune enfant au niveau des structures de sante et des communautes
41122;;% d'enfants de 6-59 mois supplémentés en Vitamine A
41122;;% d'enfants de 12-59 mois déparasités au Mebendazole
41122;;% de réunion de coordination des clusters nutrition planifiées réalisées
41122;;% d'enfants malnutris sévères pris en charge
